activity,location,distanceHome,showActuation,timestamp,time_to_next_alarm,sound,proximity,phone_lock,light,day_of_week,minutes_day,sleep_time,wakeup_time,time_sleeping,timestamp_text,class
Still,House,0,False,1526347345,-1.0,0,1,not locked,0,Monday,142,675,195,57600,2018-05-15 02:22:25+00:00,asleep
Still,House,0,False,1526347375,-1.0,0,1,not locked,0,Monday,142,675,195,57600,2018-05-15 02:22:55+00:00,asleep
Still,House,0,False,1526347405,-1.0,0,1,not locked,0,Monday,143,675,195,57600,2018-05-15 02:23:25+00:00,asleep
Tilting,House,0,False,1526347435,-1.0,0,1,not locked,0,Monday,143,675,195,57600,2018-05-15 02:23:55+00:00,asleep
Still,House,0,False,1526347466,-1.0,0,1,not locked,0,Monday,144,675,195,57600,2018-05-15 02:24:26+00:00,asleep
Still,House,0,False,1526347496,-1.0,0,1,not locked,0,Monday,144,675,195,57600,2018-05-15 02:24:56+00:00,asleep
Still,House,0,False,1526347526,-1.0,0,1,not locked,0,Monday,145,675,195,57600,2018-05-15 02:25:26+00:00,asleep
Still,House,0,False,1526347556,-1.0,0,1,not locked,0,Monday,145,675,195,57600,2018-05-15 02:25:56+00:00,asleep
Still,House,0,False,1526347586,-1.0,0,1,not locked,0,Monday,146,675,195,57600,2018-05-15 02:26:26+00:00,asleep
Still,House,0,False,1526347616,-1.0,0,1,not locked,0,Monday,146,675,195,57600,2018-05-15 02:26:56+00:00,asleep
Still,House,0,False,1526347646,-1.0,0,1,not locked,0,Monday,147,675,195,57600,2018-05-15 02:27:26+00:00,asleep
Still,House,0,False,1526347676,-1.0,0,1,not locked,0,Monday,147,675,195,57600,2018-05-15 02:27:56+00:00,asleep
Still,House,0,False,1526347706,-1.0,0,1,not locked,0,Monday,148,675,195,57600,2018-05-15 02:28:26+00:00,asleep
Still,House,0,False,1526347766,-1.0,0,1,not locked,0,Monday,149,675,195,57600,2018-05-15 02:29:26+00:00,asleep
Still,House,0,False,1526347797,-1.0,0,1,not locked,0,Monday,149,675,195,57600,2018-05-15 02:29:57+00:00,asleep
Still,House,0,False,1526347827,-1.0,0,1,not locked,0,Monday,150,675,195,57600,2018-05-15 02:30:27+00:00,asleep
Still,House,0,False,1526347857,-1.0,0,1,not locked,0,Monday,150,675,195,57600,2018-05-15 02:30:57+00:00,asleep
Still,House,0,False,1526347887,-1.0,0,1,not locked,0,Monday,151,675,195,57600,2018-05-15 02:31:27+00:00,asleep
Still,House,0,False,1526347947,-1.0,0,1,not locked,0,Monday,152,675,195,57600,2018-05-15 02:32:27+00:00,asleep
Still,House,0,False,1526347977,-1.0,0,1,not locked,0,Monday,152,675,195,57600,2018-05-15 02:32:57+00:00,asleep
Still,House,0,False,1526348007,-1.0,0,1,not locked,0,Monday,153,675,195,57600,2018-05-15 02:33:27+00:00,asleep
Still,House,0,False,1526348037,-1.0,0,1,not locked,0,Monday,153,675,195,57600,2018-05-15 02:33:57+00:00,asleep
Still,House,0,False,1526348098,-1.0,0,1,not locked,0,Monday,154,675,195,57600,2018-05-15 02:34:58+00:00,asleep
Still,House,0,False,1526348128,-1.0,0,1,not locked,0,Monday,155,675,195,57600,2018-05-15 02:35:28+00:00,asleep
Still,House,0,False,1526348158,-1.0,0,1,not locked,0,Monday,155,675,195,57600,2018-05-15 02:35:58+00:00,asleep
Still,House,0,False,1526348188,-1.0,0,1,not locked,0,Monday,156,675,195,57600,2018-05-15 02:36:28+00:00,asleep
Still,House,0,False,1526348248,-1.0,0,1,not locked,0,Monday,157,675,195,57600,2018-05-15 02:37:28+00:00,asleep
Still,House,0,False,1526348308,-1.0,0,1,not locked,0,Monday,158,675,195,57600,2018-05-15 02:38:28+00:00,asleep
Still,House,0,False,1526348338,-1.0,0,1,not locked,0,Monday,158,675,195,57600,2018-05-15 02:38:58+00:00,asleep
Still,House,0,False,1526348398,-1.0,0,1,not locked,0,Monday,159,675,195,57600,2018-05-15 02:39:58+00:00,asleep
Still,House,0,False,1526348429,-1.0,0,1,not locked,0,Monday,160,675,195,57600,2018-05-15 02:40:29+00:00,asleep
Still,House,0,False,1526348429,-1.0,0,1,not locked,0,Monday,160,675,195,57600,2018-05-15 02:40:29+00:00,asleep
Still,House,0,False,1526348459,-1.0,0,1,not locked,0,Monday,160,675,195,57600,2018-05-15 02:40:59+00:00,asleep
Still,House,0,False,1526348489,-1.0,0,1,not locked,0,Monday,161,675,195,57600,2018-05-15 02:41:29+00:00,asleep
Still,House,0,False,1526348519,-1.0,0,1,not locked,0,Monday,161,675,195,57600,2018-05-15 02:41:59+00:00,asleep
Tilting,House,0,False,1526348567,-1.0,0,0,locked,0,Monday,162,675,195,57600,2018-05-15 02:42:47+00:00,asleep
Tilting,House,0,False,1526348615,-1.0,0,0,locked,0,Monday,163,675,195,57600,2018-05-15 02:43:35+00:00,asleep
Still,House,0,False,1526348763,-1.0,0,0,locked,0,Monday,166,675,195,57600,2018-05-15 02:46:03+00:00,asleep
Still,House,0,False,1526349180,-1.0,0,0,locked,0,Monday,173,675,195,57600,2018-05-15 02:53:00+00:00,asleep
Still,House,0,False,1526349210,-1.0,0,0,locked,0,Monday,173,675,195,57600,2018-05-15 02:53:30+00:00,asleep
Still,House,0,False,1526349240,-1.0,0,0,locked,0,Monday,174,675,195,57600,2018-05-15 02:54:00+00:00,asleep
Still,House,0,False,1526349240,-1.0,0,0,locked,0,Monday,174,675,195,57600,2018-05-15 02:54:00+00:00,asleep
Tilting,House,0,False,1526349391,-1.0,0,0,locked,0,Monday,176,675,195,57600,2018-05-15 02:56:31+00:00,asleep
Still,House,0,False,1526349429,-1.0,0,0,locked,0,Monday,177,675,195,57600,2018-05-15 02:57:09+00:00,asleep
Still,House,0,False,1526349459,-1.0,0,1,locked,0,Monday,177,675,195,57600,2018-05-15 02:57:39+00:00,asleep
Still,House,0,False,1526349511,-1.0,0,1,locked,0,Monday,178,675,195,57600,2018-05-15 02:58:31+00:00,asleep
Still,House,0,False,1526349541,-1.0,0,1,locked,0,Monday,179,675,195,57600,2018-05-15 02:59:01+00:00,asleep
Still,House,0,False,1526349541,-1.0,0,1,locked,0,Monday,179,675,195,57600,2018-05-15 02:59:01+00:00,asleep
Still,House,0,False,1526348866,-1.0,0,0,locked,0,Monday,167,675,195,57600,2018-05-15 02:47:46+00:00,asleep
Still,House,0,False,1526348922,-1.0,0,0,locked,0,Monday,168,675,195,57600,2018-05-15 02:48:42+00:00,asleep
Still,House,0,False,1526349049,-1.0,0,0,locked,0,Monday,170,675,195,57600,2018-05-15 02:50:49+00:00,asleep
Still,House,0,False,1526349571,-1.0,0,0,locked,0,Monday,179,675,195,57600,2018-05-15 02:59:31+00:00,asleep
Tilting,House,0,False,1526349606,-1.0,0,0,locked,0,Monday,180,675,195,57600,2018-05-15 03:00:06+00:00,asleep
Still,House,0,False,1526349636,-1.0,0,0,locked,0,Monday,180,675,195,57600,2018-05-15 03:00:36+00:00,asleep
Still,House,0,False,1526349666,-1.0,0,0,locked,0,Monday,181,675,195,57600,2018-05-15 03:01:06+00:00,asleep
Still,House,0,False,1526349733,-1.0,0,0,locked,0,Monday,182,675,195,57600,2018-05-15 03:02:13+00:00,asleep
Tilting,House,0,False,1526349866,-1.0,0,1,locked,0,Monday,184,675,195,57600,2018-05-15 03:04:26+00:00,asleep
Still,House,0,False,1526349896,-1.0,0,1,not locked,0,Monday,184,675,195,57600,2018-05-15 03:04:56+00:00,asleep
Still,House,0,False,1526349926,-1.0,0,1,locked,0,Monday,185,675,195,57600,2018-05-15 03:05:26+00:00,asleep
Still,House,0,False,1526349957,-1.0,0,1,locked,0,Monday,185,675,195,57600,2018-05-15 03:05:57+00:00,asleep
Still,House,0,False,1526349987,-1.0,0,1,locked,0,Monday,186,675,195,57600,2018-05-15 03:06:27+00:00,asleep
Still,House,0,False,1526350017,-1.0,0,1,locked,0,Monday,186,675,195,57600,2018-05-15 03:06:57+00:00,asleep
Still,House,0,False,1526350047,-1.0,0,1,locked,0,Monday,187,675,195,57600,2018-05-15 03:07:27+00:00,asleep
Still,House,0,False,1526350077,-1.0,0,1,locked,0,Monday,187,675,195,57600,2018-05-15 03:07:57+00:00,asleep
Still,House,0,False,1526350107,-1.0,0,1,locked,0,Monday,188,675,195,57600,2018-05-15 03:08:27+00:00,asleep
Still,House,0,False,1526350137,-1.0,0,1,locked,0,Monday,188,675,195,57600,2018-05-15 03:08:57+00:00,asleep
Still,House,0,False,1526350167,-1.0,0,1,locked,0,Monday,189,675,195,57600,2018-05-15 03:09:27+00:00,asleep
Still,House,0,False,1526350197,-1.0,0,1,locked,0,Monday,189,675,195,57600,2018-05-15 03:09:57+00:00,asleep
Still,House,0,False,1526350348,-1.0,0,1,locked,0,Monday,192,675,195,57600,2018-05-15 03:12:28+00:00,asleep
Still,House,0,False,1526350378,-1.0,0,1,locked,0,Monday,192,675,195,57600,2018-05-15 03:12:58+00:00,asleep
